t_s,l_shoulder_pitch_rad,l_shoulder_roll_rad,l_shoulder_yaw_rad,l_elbow_rad,r_shoulder_pitch_rad,r_shoulder_roll_rad,r_shoulder_yaw_rad,r_elbow_rad
1.89999,0.204703,-0.0240712,-1.35206,-0.141452,-0.303759,-0.0726897,0.897502,0.212668
1.91999,0.204096,-0.0240336,-1.35204,-0.141452,-0.303482,-0.0719857,0.897544,0.212676
1.94,0.204096,-0.0240336,-1.35204,-0.141452,-0.302749,-0.0706238,0.897556,0.212684
1.96,0.204188,-0.0240777,-1.35204,-0.141444,-0.301451,-0.0689386,0.897556,0.212676
1.97999,0.204375,-0.0240878,-1.35203,-0.141469,-0.299415,-0.0673831,0.897551,0.212649
1.99999,0.204421,-0.0240878,-1.35203,-0.141489,-0.297852,-0.0665497,0.897516,0.212632
2.02001,0.204447,-0.024028,-1.35203,-0.141489,-0.296093,-0.066021,0.897551,0.212632
2.03999,0.204459,-0.024028,-1.35204,-0.141472,-0.294347,-0.0655771,0.89755,0.212632
2.06,0.204477,-0.0240293,-1.35204,-0.141471,-0.293186,-0.0655421,0.897565,0.212605
2.07999,0.205174,-0.024045,-1.35204,-0.141471,-0.292692,-0.0655169,0.89755,0.212542
2.09999,0.206321,-0.0240537,-1.35205,-0.141466,-0.292651,-0.0655097,0.897561,0.21253
2.12,0.207316,-0.0240704,-1.35204,-0.141466,-0.292692,-0.0654554,0.897517,0.212528
2.13999,0.208378,-0.0240756,-1.35204,-0.141467,-0.292906,-0.0653823,0.897517,0.2125
2.16001,0.209682,-0.0240756,-1.35201,-0.141467,-0.293808,-0.0650697,0.897512,0.212061
2.18,0.211121,-0.0240756,-1.35197,-0.141426,-0.29505,-0.0646207,0.897509,0.212001
2.19999,0.212651,-0.0240969,-1.35196,-0.141408,-0.29599,-0.0638731,0.897431,0.211501
2.21999,0.214781,-0.0240969,-1.35196,-0.141406,-0.297187,-0.0626416,0.897431,0.211206
2.24,0.217201,-0.024062,-1.35197,-0.14139,-0.298511,-0.0617593,0.897438,0.211155
2.26,0.220133,-0.0240468,-1.35197,-0.141342,-0.300491,-0.0617593,0.89745,0.211079
2.27999,0.223675,-0.0240468,-1.35197,-0.141333,-0.303013,-0.0618015,0.897509,0.210999
2.29999,0.226743,-0.0240427,-1.35197,-0.141322,-0.305544,-0.0620975,0.897509,0.210986
2.32,0.229883,-0.0240498,-1.35197,-0.141296,-0.3076,-0.0620975,0.897506,0.210986
2.34,0.233412,-0.0240427,-1.35188,-0.141263,-0.309455,-0.061985,0.897506,0.210986
2.35999,0.236551,-0.0240848,-1.35179,-0.141254,-0.310851,-0.0618744,0.89752,0.210671
2.38,0.239435,-0.024032,-1.35178,-0.141248,-0.31169,-0.0618641,0.897544,0.20805
2.4,0.2422,-0.0240615,-1.35171,-0.141245,-0.31169,-0.0618438,0.897573,0.203512
2.42,0.244449,-0.0240615,-1.35171,-0.141141,-0.311572,-0.0618338,0.897573,0.196561
2.44,0.247237,-0.0240825,-1.35171,-0.140914,-0.311491,-0.0613274,0.897573,0.185538
2.45999,0.250604,-0.0240881,-1.35172,-0.140888,-0.309905,-0.0606008,0.897516,0.171258
2.48,0.253946,-0.0240825,-1.35172,-0.140746,-0.308037,-0.0596777,0.897516,0.154774
2.5,0.257983,-0.0240583,-1.35167,-0.140504,-0.305931,-0.0589802,0.89734,0.136858
2.52001,0.262736,-0.0240583,-1.35167,-0.140333,-0.303975,-0.0583045,0.89733,0.119338
2.54001,0.268113,-0.024077,-1.3517,-0.140302,-0.302496,-0.0572455,0.897271,0.103712
2.56,0.273239,-0.0240812,-1.35171,-0.139851,-0.301287,-0.0559062,0.897242,0.0903954
2.58,0.279001,-0.024077,-1.3517,-0.139412,-0.299847,-0.0537175,0.896956,0.0782659
2.60001,0.284703,-0.0240486,-1.3517,-0.139351,-0.297983,-0.0507797,0.896911,0.0657792
2.62,0.290312,-0.0240486,-1.3517,-0.139202,-0.295487,-0.0478423,0.896851,0.0524288
2.64,0.296317,-0.0240666,-1.3517,-0.138779,-0.292347,-0.0453691,0.896838,0.0371826
