t_s,l_shoulder_pitch_rad,l_shoulder_roll_rad,l_shoulder_yaw_rad,l_elbow_rad
5.17999,0.582714,-0.0450694,-1.04829,-0.000952409
5.2,0.567597,-0.0450538,-1.04835,-0.00091949
5.22,0.553155,-0.0451229,-1.04837,-0.00100911
5.23999,0.53919,-0.0450677,-1.0484,-0.000994728
5.26,0.525594,-0.0451088,-1.04833,-0.000965404
5.27998,0.512761,-0.0451085,-1.04836,-0.000972258
5.3,0.500514,-0.0450957,-1.04831,-0.00107064
5.32,0.48811,-0.0450686,-1.04831,-0.000970086
5.34001,0.47607,-0.0450902,-1.04829,-0.0010339
5.36,0.465249,-0.0450764,-1.04813,-0.00087571
5.38,0.45723,-0.0450494,-1.04807,-0.000900277
5.4,0.450452,-0.0450482,-1.04817,-0.001328
5.42001,0.442971,-0.0445061,-1.04818,-0.0019292
5.44001,0.436128,-0.0437706,-1.04819,-0.0020056
5.46,0.430038,-0.0436722,-1.04817,-0.0023485
5.48,0.423306,-0.0436653,-1.04814,-0.00256725
5.49999,0.417266,-0.043581,-1.04813,-0.00300841
5.52,0.411066,-0.0435486,-1.04813,-0.00328641
5.54,0.404752,-0.0435587,-1.04823,-0.00340285
5.56,0.398749,-0.0435935,-1.0482,-0.00329027
5.58,0.39302,-0.0435872,-1.04815,-0.00334719
5.60001,0.386992,-0.0435838,-1.04813,-0.00335401
5.62,0.381783,-0.0435666,-1.04815,-0.00322312
5.64,0.377669,-0.043608,-1.04814,-0.00338097
5.65999,0.374273,-0.0436152,-1.04813,-0.00322818
5.68,0.371905,-0.0435955,-1.04819,-0.00320024
5.7,0.370365,-0.0436123,-1.04816,-0.00330622
5.72,0.369164,-0.0435919,-1.0482,-0.00355426
5.74,0.36696,-0.0436468,-1.04822,-0.00360482
5.76001,0.364744,-0.043575,-1.04825,-0.00394083
5.77999,0.362792,-0.0435907,-1.04822,-0.00538964
5.80001,0.361368,-0.0435802,-1.04824,-0.00711833
5.82001,0.359787,-0.0435785,-1.04828,-0.0075492
5.84,0.359342,-0.043549,-1.04825,-0.00785484
5.86001,0.359515,-0.0436242,-1.04819,-0.00791742
5.88,0.359664,-0.0436727,-1.04817,-0.00791817
5.90001,0.35966,-0.043647,-1.04805,-0.00792464
5.92001,0.35971,-0.0439506,-1.04767,-0.00793745
5.94,0.359796,-0.0444465,-1.04579,-0.00793404
5.96001,0.359878,-0.0467397,-1.04559,-0.00788105
5.98,0.36024,-0.0493715,-1.04557,-0.00788143
6.00001,0.360939,-0.0501446,-1.04557,-0.00783997
6.02,0.361894,-0.0501021,-1.04553,-0.00775836
6.04001,0.362562,-0.0501884,-1.04545,-0.00775862
6.06001,0.363847,-0.0501478,-1.04507,-0.00781289
6.08,0.364178,-0.0501918,-1.04297,-0.00780184
